"distancia_km","cota","pendiente","curvatura","elemento","tipo_elemento","curvatura_magnitud"
90.72496,960.696,-0.261808,0,NA,0,0
90.75496,960.618,-0.261803,0,NA,0,0
90.76496,960.592,-0.261798978,0.00133333332,NA,0,0.00133333332
90.89586,960.251,-0.261802,0.00133333332,NA,0,0.00133333332
91.02676,959.91,-0.261798978,0.00133333332,NA,0,0.00133333332
91.15766,959.569,-0.2618,0,NA,0,0
91.35766,959.045,-0.2618,0,NA,0,0
91.55766,958.522,-0.261798978,0,NA,0,0
91.65766,958.26,-0.261798,-0.00133333332,NA,0,0.00133333332
91.7885547,957.919,-0.261798978,-0.00133333332,NA,0,0.00133333332
91.85401,957.748,-0.261798978,-0.00133333332,NA,0,0.00133333332
91.91946,957.576,-0.261792,0,NA,0,0
92.11946,957.053,-0.261798978,0,NA,0,0
92.31946,956.529,-0.261798978,0,NA,0,0
92.51946,956.006,-0.261798978,0,NA,0,0
92.71946,955.4822,-0.261798978,0,NA,0,0
92.91946,954.958,-0.261798978,0,NA,0,0
93.00238,954.741,-0.261798978,0,"190",2,0
93.11946,954.4352,0,-0.00266666664,NA,0,0.00266666664
93.15219,954.4352,0,-0.00266666664,NA,0,0.00266666664
93.1849141,954.4352,0,-0.00266666664,NA,0,0.00266666664
93.21764,954.4352,0,-0.00266666664,NA,0,0.00266666664
93.25037,954.4352,0,-0.00266666664,NA,0,0.00266666664
93.28309,954.4352,0,-0.00266666664,NA,0,0.00266666664
93.31582,954.4352,0,-0.00266666664,NA,0,0.00266666664
93.34855,954.4352,0,-0.00266666664,NA,0,0.00266666664
93.38127,954.4352,0,-0.00266666664,NA,0,0.00266666664
93.414,954.4352,0,-0.00266666664,NA,0,0.00266666664
93.44673,954.4352,0,0,NA,0,0
93.44937,954.4352,0,0,NA,0,0
93.46937,954.4352,0,0,NA,0,0
93.47437,954.4352,0,0,NA,0,0
93.47701,954.4352,0,0,NA,0,0
93.62701,954.4352,0,0,NA,0,0
93.67701,954.4352,0,0,NA,0,0
93.6785156,954.4352,0,0,NA,0,0
93.6815156,954.4352,0,0,NA,0,0
93.69679,954.4352,-0.261796,0,NA,0,0
93.70179,954.4222,-0.523596,0,NA,0,0
93.70679,954.395,-0.785392,0,NA,0,0
93.71179,954.356,-1.04719,0,NA,0,0
