"nombre","media_agua","sd_agua","n"
"AND240-4253",277.83,94.9708215541314,16
"MZA 1701",149.605,127.529757259499,16
"MZA 1801",144.448125,126.586672717089,16
"RN141-2106",133.876875,91.0384557366647,16
