"locomotora","media","mediana","desviacion","cv_porcentaje","minimo","maximo","iqr"
"AND240-4253",277.83,266,94.97,34.2,136.22,487.07,122.31
"MZA 1701",149.6,138.65,127.53,85.2,0,412.2,187.56
"MZA 1801",144.45,124.04,126.59,87.6,0,527.62,111.81
"RN141-2106",133.88,138.12,91.04,68,0,333.88,61.35
