"nombre","media_carbon","sd_carbon","n"
"AND240-4253",32.173125,15.1253102309782,16
"MZA 1701",12.34375,9.54651061906915,16
"MZA 1801",38.715,27.6597691000244,16
"RN141-2106",12.629375,10.858169562592,16
