"locomotora","media","mediana","desviacion","cv_porcentaje","minimo","maximo","iqr"
"MZA 1801",47.83,49.6,16.66,34.8,22.7,71,30.08
"RN141-2106",45.21,49.85,12.95,28.6,25.6,62.3,20.7
"MZA 1701",45.11,47.8,16.53,36.7,20.8,70.2,27.85
"AND240-4253",43.49,44.35,12.28,28.2,28.4,63.2,24.05
